"Reference",	"Value",	"Datasheet",	"Footprint",	"Qty",	"DNP"
"BT1",	"Battery",	"~",	"footprints:LiPo_2S1P_Battery",	"1",	""
"D1",	"LED_VBAT",	"~",	"LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",	"1",	""
"D2",	"LED_3V3",	"~",	"LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",	"1",	""
"DRV1",	"DRV8833",	"",	"footprints:Polulu_DRV8833",	"1",	""
"H1,H4",	"Motor_holes",	"~",	"footprints:Polulu_Micro_Gearmotor",	"2",	""
"H2,H5",	"Caster_wheel_holes",	"~",	"footprints:caster_wheel_custom",	"2",	""
"H3",	"Bumper_front",	"~",	"footprints:Micromouse_bumper",	"1",	""
"H6",	"Bumper_back",	"~",	"footprints:Micromouse_bumper",	"1",	""
"J1",	"Left motor",	"",	"footprints:JST_SH_6pins",	"1",	""
"J2",	"Right motor",	"",	"footprints:JST_SH_6pins",	"1",	""
"J3",	"XT60-M",	"",	"footprints:AMASS_XT60-M",	"1",	""
"LS1",	"PKLCS1212E20A0-R1",	"",	"footprints:buzzer_double_footprint",	"1",	""
"R1",	"20k",	"~",	"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",	"1",	""
"R2",	"10k",	"~",	"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",	"1",	""
"R3,R4",	"220",	"~",	"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",	"2",	""
"R5",	"1k",	"~",	"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",	"1",	""
"S1",	"PTS526_SMG15_SMTR2_LFS",	"",	"footprints:SW_PTS526_SMG15_SMTR2_LFS",	"1",	""
"U1",	"ESP32-S3-DEVKITC-1U-N8R2",	"",	"footprints:XCVR_ESP32-S3-DEVKITC-1U-N8R2",	"1",	""
"U2",	"GY-521",	"",	"footprints:GY-521",	"1",	""
"VL53L1X1",	"Left",	"",	"footprints:TinyTronics_VL53L1X",	"1",	""
"VL53L1X2",	"Front-right",	"",	"footprints:TinyTronics_VL53L1X",	"1",	""
"VL53L1X3",	"Front-left",	"",	"footprints:TinyTronics_VL53L1X",	"1",	""
"VL53L1X4",	"Right",	"",	"footprints:TinyTronics_VL53L1X",	"1",	""
"VL53L1X5",	"Front",	"",	"footprints:TinyTronics_VL53L1X_header_front",	"1",	""
