time,   voltage,    leftMode,    rightMode
53370,  7879,   0,      0
53375,  7782,   0,      0
53380,  7847,   0,      0
53385,  7782,   0,      0
53390,  7793,   0,      0
53395,  7858,   0,      0
53400,  7858,   0,      0
53405,  7804,   0,      0
53410,  7847,   0,      0
53415,  7793,   0,      0
53420,  7847,   0,      0
53425,  7804,   0,      0
53430,  7761,   0,      0
53435,  7869,   0,      0
53440,  7804,   0,      0
53445,  7804,   0,      0
53450,  7847,   0,      0
53455,  7836,   0,      0
53460,  7804,   0,      0
53465,  7836,   0,      0
53470,  7879,   0,      0
53475,  7804,   0,      0
53480,  7793,   0,      0
53485,  7858,   0,      0
53490,  7847,   0,      0
53495,  7804,   0,      0
53500,  7804,   0,      0
53505,  7815,   0,      0
53510,  7804,   0,      0
53515,  7847,   0,      0
53520,  7847,   0,      0
53525,  7804,   0,      0
53530,  7847,   0,      0
53535,  7815,   0,      0
53540,  7815,   0,      0
53545,  7804,   0,      0
53550,  7815,   0,      0
53555,  7869,   0,      0
53560,  7804,   0,      0
53565,  7869,   0,      0
53570,  7804,   0,      0
53575,  7804,   0,      0
53580,  7804,   0,      0
53585,  7793,   0,      0
53590,  7793,   0,      0
53595,  7793,   0,      0
53600,  7782,   0,      0
53605,  7804,   0,      0
53610,  7847,   0,      0
53615,  7804,   0,      0
53620,  7858,   0,      0
53625,  7793,   0,      0
53630,  7804,   0,      0
53635,  7804,   0,      0
53640,  7858,   0,      0
53645,  7815,   0,      0
53650,  7761,   0,      0
53655,  7804,   0,      0
53660,  7847,   0,      0
53665,  7804,   0,      0
53670,  7847,   0,      0
53675,  7847,   0,      0
53680,  7804,   0,      0
53685,  7804,   0,      0
53690,  7782,   0,      0
53695,  7869,   0,      0
53700,  7869,   0,      0
53705,  7782,   0,      0
53710,  7804,   0,      0
53715,  7815,   0,      0
53720,  7664,   0,      0
53725,  7847,   0,      0
53730,  7782,   0,      0
53735,  7782,   0,      0
53740,  7858,   0,      0
53745,  7782,   0,      0
53750,  7761,   0,      0
53755,  7804,   0,      0
53760,  7815,   0,      0
53765,  7804,   0,      0
53770,  7858,   0,      0
53775,  7804,   0,      0
53780,  7847,   0,      0
53785,  7793,   0,      0
53790,  7858,   0,      0
53795,  7804,   0,      0
53800,  7879,   0,      0
53805,  7869,   0,      0
53810,  7847,   0,      0
53815,  7804,   0,      0
53820,  7847,   0,      0
53825,  7847,   0,      0
53830,  7858,   0,      0
53835,  7804,   0,      0
53840,  7847,   0,      0
53845,  7804,   0,      0
53850,  7858,   0,      0
53855,  7858,   0,      0
53860,  7858,   0,      0
53865,  7804,   0,      0
53870,  7804,   0,      0
53875,  7782,   0,      0
53880,  7847,   0,      0
53885,  7847,   0,      0
53890,  7782,   0,      0
53895,  7869,   0,      0
53900,  7815,   0,      0
53905,  7847,   0,      0
53910,  7847,   0,      0
53915,  7847,   0,      0
53920,  7782,   0,      0
53925,  7804,   0,      0
53930,  7922,   0,      0
53935,  7847,   0,      0
53940,  7793,   0,      0
53945,  7804,   0,      0
53950,  7815,   0,      0
53955,  7782,   0,      0
53960,  7804,   0,      0
53965,  7815,   0,      0
53970,  7793,   0,      0
53975,  7847,   0,      0
53980,  7761,   0,      0
53985,  7761,   0,      0
53990,  7804,   0,      0
53995,  7782,   0,      0
54000,  7804,   0,      0
54005,  7804,   0,      0
54010,  7804,   0,      0
54015,  7782,   0,      0
54020,  7804,   0,      0
54025,  7772,   0,      0
54030,  7804,   0,      0
54035,  7815,   0,      0
54040,  7793,   0,      0
54045,  7847,   0,      0
54050,  7847,   0,      0
54055,  7804,   0,      0
54060,  7804,   0,      0
54065,  7847,   0,      0
54070,  7815,   0,      0
54075,  7869,   0,      0
54080,  7869,   0,      0
54085,  7847,   0,      0
54090,  7847,   0,      0
54095,  7836,   0,      0
54100,  7815,   0,      0
54105,  7804,   0,      0
54110,  7922,   0,      0
54115,  7804,   0,      0
54120,  7804,   0,      0
54125,  7793,   0,      0
54130,  7815,   0,      0
54135,  7847,   0,      0
54140,  7869,   0,      0
54145,  7847,   0,      0
54150,  7804,   0,      0
54155,  7782,   0,      0
