time, batteryVoltage, speed, leftHighSpeed, leftLowSpeed, rightHighSpeed, rightLowSpeed
425.977, 7447, -540, -499.50, -528.26, -499.50, -505.82
426.978, 7447, -530, -499.50, -539.37, -500.00, -524.93
427.981, 7436, -520, -500.00, -529.94, -500.00, -516.80
428.982, 7447, -510, -499.50, -508.13, -500.00, -494.56
429.984, 7425, -500, -499.50, -492.37, -499.50, -510.46
430.987, 7425, -490, -500.00, -490.20, -500.00, -472.14
431.988, 7436, -480, -499.50, -476.87, -499.50, -492.37
432.991, 7425, -470, -499.50, -460.41, -500.50, -482.39
433.994, 7436, -460, -500.00, -465.55, -500.00, -466.20
434.995, 7447, -450, -500.00, -456.00, -500.00, -457.25
435.998, 7425, -440, -499.00, -430.66, -501.00, -442.09
437.001, 7436, -430, -499.50, -423.01, -499.50, -421.94
438.002, 7436, -420, -500.00, -430.11, -333.33, -413.56
439.005, 7436, -410, -499.50, -427.90, -499.50, -403.06
440.006, 7447, -400, -333.00, -412.54, -333.00, -399.20
441.007, 7447, -390, -333.33, -398.25, -500.00, -404.04
442.010, 7436, -380, -500.00, -377.07, -333.33, -380.08
443.011, 7425, -370, -499.50, -366.30, -333.00, -387.15
444.014, 7436, -360, -332.34, -359.58, -334.34, -371.61
445.017, 7447, -350, -500.00, -338.07, -333.33, -360.36
446.018, 7447, -340, -332.34, -339.79, -334.67, -356.13
447.021, 7436, -330, -332.67, -340.14, -334.34, -344.71
448.023, 7447, -320, -333.33, -315.66, -333.33, -338.07
449.024, 7447, -310, -332.67, -301.39, -333.33, -318.98
450.027, 7425, -300, -332.67, -291.12, -334.34, -314.76
451.030, 7436, -290, -333.00, -286.62, -333.00, -291.38
452.031, 7447, -280, -166.50, -286.86, -334.00, -281.06
453.033, 7425, -270, -333.33, -267.31, -166.67, -278.01
454.034, 7458, -260, -333.00, -265.18, -166.50, -267.95
455.035, 7436, -250, -166.17, -246.37, -334.67, -256.21
456.038, 7436, -240, -166.67, -233.43, -333.33, -254.84
457.039, 7425, -230, -333.00, -238.78, -167.00, -244.20
