time, leftHighSpeed, leftLowSpeed, rightHighSpeed, rightLowSpeed
749676761, 666.67, 574.71, 500.00, 555.56
749928760, 668.00, 559.28, 501.00, 564.02
750180760, 500.00, 568.83, 500.00, 544.66
750432760, 500.50, 577.70, 667.33, 577.70
750684762, 499.50, 572.74, 666.00, 558.35
750936762, 666.00, 551.88, 499.50, 550.06
751188761, 500.50, 570.78, 500.50, 568.83
751440762, 501.00, 564.02, 668.00, 547.35
751692760, 500.50, 556.48, 667.33, 580.72
751944763, 665.34, 569.80, 665.34, 556.48
752196760, 501.50, 566.89, 501.50, 553.71
752448760, 500.00, 502.77, 500.00, 568.83
752700760, 333.67, 440.33, 500.50, 586.85
752952760, 166.67, 112.57, 500.00, 566.89
753204760, 166.67, 72.67, 500.00, 560.22
753456760, 0.00, 71.23, 501.00, 547.35
753708761, 167.50, 195.27, 502.51, 557.41
753960760, 667.33, 535.05, 500.50, 584.80
754212761, 500.00, 550.06, 666.67, 544.66
754464761, 500.50, 573.72, 667.33, 572.74
754716760, 501.50, 565.93, 501.50, 557.41
754968760, 500.50, 553.71, 667.33, 561.17
755220764, 498.50, 558.35, 498.50, 559.28
755472761, 333.33, 393.55, 666.67, 563.06
755724760, 333.33, 382.26, 666.67, 562.11
755976761, 501.50, 405.52, 501.50, 574.71
756228760, 334.00, 377.93, 501.00, 569.80
756480760, 166.67, 227.69, 500.00, 561.17
756732760, 166.83, 307.79, 500.50, 571.76
756984763, 332.34, 313.87, 498.50, 553.71
757236760, 333.67, 217.44, 500.50, 550.96
757488761, 333.67, 254.84, 500.50, 544.66
757740770, 165.84, 225.07, 497.51, 568.83
757992761, 333.00, 269.91, 499.50, 550.96
758244761, 0.00, 134.79, 666.00, 594.18
758496760, 0.00, 80.81, 667.33, 574.71
758748766, 0.00, 87.05, 498.01, 554.63
759000760, 166.67, 88.53, 666.67, 560.22
759252245, 112.23, 105.29, 561.17, 556.48
759503761, 0.00, 130.16, 499.50, 556.48
759755760, 333.33, 260.82, 666.67, 579.71
760007761, 499.50, 365.10, 499.50, 568.83
760259761, 666.00, 505.82, 499.50, 578.70
760511765, 497.51, 566.89, 497.51, 570.78
760763761, 501.00, 550.06, 501.00, 596.30
761015760, 666.67, 560.22, 666.67, 553.71
761267760, 500.00, 565.93, 500.00, 584.80
761519760, 666.67, 564.97, 666.67, 577.70
761771762, 499.00, 567.86, 499.00, 566.89
762023760, 666.67, 564.97, 666.67, 555.56
762275760, 666.67, 556.48, 500.00, 560.22
762527760, 500.00, 569.80, 666.67, 594.18
762779760, 500.00, 554.63, 500.00, 542.89
763031760, 666.67, 552.79, 666.67, 565.93
763283760, 500.00, 564.02, 500.00, 396.35
763535760, 666.67, 570.78, 166.67, 260.01
763787762, 499.00, 552.79, 332.67, 353.11
764039760, 500.00, 570.78, 166.67, 302.21
764291761, 499.50, 562.11, 499.50, 514.40
764543760, 500.50, 571.76, 500.50, 534.19
764795760, 500.00, 568.83, 666.67, 555.56
765047760, 500.00, 572.74, 500.00, 552.79
765299760, 500.00, 566.89, 500.00, 545.55
765551760, 500.00, 564.97, 500.00, 580.72
765803760, 500.50, 551.88, 667.33, 550.96
766055760, 500.50, 556.48, 500.50, 533.33
766307761, 499.50, 553.71, 499.50, 567.86
766559760, 500.50, 558.35, 333.67, 358.81
766811760, 666.67, 560.22, 0.00, 81.64
767063760, 500.50, 556.48, 0.00, 96.03
767315760, 501.50, 549.15, 334.34, 298.69
767567760, 500.00, 555.56, 500.00, 543.77
767819760, 667.33, 572.74, 500.50, 556.48
768071761, 499.50, 556.48, 499.50, 586.85
768323760, 500.00, 566.89, 333.33, 483.79
768575760, 500.00, 572.74, 500.00, 425.17
768827760, 500.00, 558.35, 500.00, 484.50
769079760, 525.76, 569.80, 175.25, 98.91
769331760, 500.50, 551.88, 333.67, 306.94
769583760, 667.33, 564.97, 500.50, 508.91
769835881, 654.88, 573.72, 654.88, 566.89
770087763, 498.50, 554.63, 498.50, 542.89
770339760, 500.00, 552.79, 333.33, 399.68
770591763, 499.50, 574.71, 166.50, 206.40
770843761, 499.50, 576.70, 166.50, 153.54
771095760, 667.33, 575.71, 166.83, 90.93
771347760, 666.67, 568.83, 166.67, 47.84
771599760, 666.67, 563.06, 0.00, 90.46
771851760, 666.67, 557.41, 0.00, 89.53
772103760, 666.67, 561.17, 500.00, 538.50
772355764, 499.00, 561.17, 665.34, 597.37
772607761, 500.50, 554.63, 667.33, 599.52
772859762, 666.00, 579.71, 499.50, 566.89
773111761, 503.52, 577.70, 671.37, 558.35
773363760, 500.50, 568.83, 667.33, 572.74
773615760, 500.00, 574.71, 500.00, 604.96
773867761, 666.00, 566.89, 666.00, 567.86
774119762, 499.00, 564.02, 499.00, 585.82
774371761, 500.50, 554.63, 500.50, 574.71
774623760, 666.67, 568.83, 500.00, 564.02
774875760, 500.00, 567.86, 500.00, 579.71
775127760, 500.00, 571.76, 666.67, 597.37
775379760, 666.67, 560.22, 666.67, 565.93
