time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
72389, 200, 0.00, 4, 0.00, 4
72396, 200, 0.00, 8, 0.00, 8
72401, 200, 0.00, 12, 0.00, 12
72407, 200, 0.00, 16, 0.00, 16
72413, 200, 0.00, 20, 0.00, 20
72419, 200, 0.00, 24, 0.00, 24
72425, 200, 0.00, 28, 0.00, 28
72431, 200, 0.00, 32, 0.00, 32
72437, 200, 0.00, 36, 0.00, 36
72443, 200, 0.00, 40, 0.00, 40
72449, 200, 0.00, 44, 0.00, 44
72455, 200, 0.00, 48, 0.00, 48
72461, 200, 0.00, 52, 0.00, 52
72467, 200, 0.00, 56, 0.00, 56
72473, 200, 0.00, 60, 0.00, 60
72479, 200, 0.00, 64, 0.00, 64
72485, 200, 0.00, 68, 0.00, 68
72491, 200, 0.00, 72, 34.10, 71
72497, 200, 0.00, 76, 54.60, 73
72503, 200, 0.00, 80, 64.08, 75
72509, 200, 0.00, 84, 75.95, 77
72515, 200, 0.00, 88, 96.62, 79
72521, 200, 56.45, 90, 114.43, 80
72527, 200, 89.53, 92, 133.49, 81
72533, 200, 113.42, 93, 139.12, 82
72539, 200, 127.32, 94, 154.04, 82
72545, 200, 148.68, 95, 162.92, 82
72551, 200, 167.59, 95, 175.99, 82
72557, 200, 180.96, 95, 184.37, 82
72563, 200, 203.00, 94, 203.00, 81
72569, 200, 212.72, 93, 202.51, 81
72575, 200, 223.56, 92, 217.30, 80
72581, 200, 227.84, 91, 222.37, 79
72587, 200, 239.81, 90, 225.99, 78
72593, 200, 243.84, 89, 233.26, 77
72599, 200, 256.61, 87, 249.31, 76
72605, 200, 255.04, 85, 245.46, 75
72611, 200, 261.64, 83, 257.80, 73
72617, 200, 271.89, 81, 249.69, 72
72623, 200, 265.18, 79, 260.82, 70
72629, 200, 273.00, 77, 255.82, 68
72635, 200, 277.32, 75, 249.69, 67
72641, 200, 271.00, 73, 252.14, 66
72647, 200, 276.40, 71, 256.21, 64
72653, 200, 268.17, 69, 250.63, 63
72659, 200, 272.33, 67, 243.49, 62
72665, 200, 271.89, 65, 245.28, 61
