time,   leftEncoder,   rightEncoder,   leftMode,   rightMode
39625,  -17551,         0,      0,      0
39630,  -17551,         0,      0,      0
39635,  -17551,         0,      0,      0
39640,  -17551,         0,      0,      0
39645,  -17551,         0,      0,      0
39650,  -17551,         0,      0,      0
39655,  -17551,         0,      0,      0
39660,  -17551,         0,      0,      0
39665,  -17551,         0,      0,      0
39670,  -17551,         0,      0,      0
39675,  -17551,         0,      0,      0
39680,  -17551,         0,      0,      0
39685,  -17551,         0,      0,      0
39690,  -17551,         0,      0,      0
39695,  -17551,         0,      0,      0
39700,  -17551,         0,      0,      0
39705,  -17551,         0,      0,      0
39710,  -17551,         0,      0,      0
39715,  -17551,         0,      0,      0
39720,  -17551,         0,      0,      0
39725,  -17551,         0,      0,      0
39730,  -17551,         0,      0,      0
39735,  -17551,         0,      0,      0
39740,  -17551,         0,      0,      0
39745,  -17551,         0,      0,      0
39750,  -17551,         0,      0,      0
39755,  -17551,         0,      0,      0
39760,  -17551,         0,      0,      0
39765,  -17551,         0,      0,      0
39770,  -17551,         0,      0,      0
39775,  -17551,         0,      0,      0
39780,  -17551,         0,      0,      0
39785,  -17551,         0,      0,      0
39790,  -17551,         0,      0,      0
39795,  -17551,         0,      0,      0
39800,  -17551,         0,      0,      0
39805,  -17551,         0,      0,      0
39810,  -17551,         0,      0,      0
39815,  -17551,         0,      0,      0
39820,  -17551,         0,      0,      0
39825,  -17551,         0,      0,      0
39830,  -17551,         0,      0,      0
39835,  -17551,         0,      0,      0
39840,  -17551,         0,      0,      0
39845,  -17551,         0,      0,      0
39850,  -17551,         0,      0,      0
39855,  -17551,         0,      0,      0
39860,  -17551,         0,      0,      0
39865,  -17551,         0,      0,      0
39870,  -17551,         0,      0,      0
39875,  -17551,         0,      0,      0
39880,  -17551,         0,      0,      0
39885,  -17551,         0,      0,      0
39890,  -17551,         0,      0,      0
39895,  -17551,         0,      0,      0
39900,  -17551,         0,      0,      0
39905,  -17551,         0,      0,      0
39910,  -17551,         0,      0,      0
39915,  -17551,         0,      0,      0
39920,  -17551,         0,      0,      0
39925,  -17551,         0,      0,      0
39930,  -17551,         0,      0,      0
39935,  -17551,         0,      0,      0
39940,  -17551,         0,      0,      0
39945,  -17551,         0,      0,      0
39950,  -17551,         0,      0,      0
39955,  -17551,         0,      0,      0
39960,  -17551,         0,      0,      0
39965,  -17551,         0,      0,      0
39970,  -17551,         0,      0,      0
39975,  -17551,         0,      0,      0
39980,  -17551,         0,      0,      0
39985,  -17551,         0,      0,      0
39990,  -17551,         0,      0,      0
39995,  -17551,         0,      0,      0
40000,  -17551,         0,      0,      0
40005,  -17551,         0,      0,      0
40010,  -17551,         0,      0,      0
40015,  -17551,         0,      0,      0
40020,  -17551,         0,      0,      0
40025,  -17551,         0,      0,      0
40030,  -17551,         0,      0,      0
40035,  -17551,         0,      0,      0
40040,  -17551,         0,      0,      0
40045,  -17551,         0,      0,      0
40050,  -17551,         0,      0,      0
40055,  -17551,         0,      0,      0
40060,  -17551,         0,      0,      0
40065,  -17551,         0,      0,      0
40070,  -17551,         0,      0,      0
40075,  -17551,         0,      0,      0
40080,  -17551,         0,      0,      0
40085,  -17551,         0,      0,      0
40090,  -17551,         0,      0,      0
40095,  -17551,         0,      0,      0
40100,  -17551,         0,      0,      0
40105,  -17551,         0,      0,      0
40110,  -17551,         0,      0,      0
40115,  -17551,         0,      0,      0
40120,  -17551,         0,      0,      0
40125,  -17551,         0,      0,      0
40130,  -17551,         0,      0,      0
40135,  -17551,         0,      0,      0
40140,  -17551,         0,      0,      0
40145,  -17551,         0,      0,      0
40150,  -17551,         0,      0,      0
40155,  -17551,         0,      0,      0
40160,  -17551,         0,      0,      0
40165,  -17551,         0,      0,      0
40170,  -17551,         0,      0,      0
40175,  -17551,         0,      0,      0
40180,  -17551,         0,      0,      0
40185,  -17551,         0,      0,      0
40190,  -17551,         0,      0,      0
40195,  -17551,         0,      0,      0
40200,  -17551,         0,      0,      0
40205,  -17551,         0,      0,      0
40210,  -17551,         0,      0,      0
40215,  -17551,         0,      0,      0
40220,  -17551,         0,      0,      0
40225,  -17551,         0,      0,      0
40230,  -17551,         0,      0,      0
40235,  -17551,         0,      0,      0
40240,  -17551,         0,      0,      0
40245,  -17551,         0,      0,      0
40250,  -17551,         0,      0,      0
40255,  -17551,         0,      0,      0
40260,  -17551,         0,      0,      0
40265,  -17551,         0,      0,      0
40270,  -17551,         0,      0,      0
40275,  -17551,         0,      0,      0
40280,  -17551,         0,      0,      0
40285,  -17551,         0,      0,      0
40290,  -17551,         0,      0,      0
40295,  -17551,         0,      0,      0
40300,  -17551,         0,      0,      0
40305,  -17551,         0,      0,      0
40310,  -17551,         0,      0,      0
40315,  -17551,         0,      0,      0
40320,  -17551,         0,      0,      0
40325,  -17551,         0,      0,      0
40330,  -17551,         0,      0,      0
40335,  -17551,         0,      0,      0
40340,  -17551,         0,      0,      0
40345,  -17551,         0,      0,      0
40350,  -17551,         0,      0,      0
40355,  -17551,         0,      0,      0
40360,  -17551,         0,      0,      0
40365,  -17551,         0,      0,      0
40370,  -17551,         0,      2,      0
40375,  -17551,         0,      2,      0
40380,  -17551,         0,      2,      0
40385,  -17551,         0,      2,      0
40390,  -17551,         0,      2,      0
40395,  -17551,         0,      2,      0
40400,  -17551,         0,      2,      0
40405,  -17551,         0,      2,      0
40410,  -17551,         0,      2,      0
40415,  -17551,         0,      2,      0
40420,  -17551,         0,      2,      0
40425,  -17551,         0,      2,      0
40430,  -17551,         0,      2,      0
40435,  -17551,         0,      2,      0
40440,  -17551,         0,      2,      0
40445,  -17551,         0,      2,      0
40450,  -17551,         0,      2,      0
40455,  -17551,         0,      2,      0
40460,  -17551,         0,      2,      0
40465,  -17551,         0,      2,      0
40470,  -17551,         0,      2,      0
40475,  -17551,         0,      2,      0
40480,  -17551,         0,      2,      0
40485,  -17551,         0,      2,      0
40490,  -17551,         0,      2,      0
40495,  -17551,         0,      2,      0
40500,  -17551,         0,      2,      0
40505,  -17551,         0,      2,      0
40510,  -17551,         0,      2,      0
40515,  -17551,         0,      2,      0
40520,  -17551,         0,      2,      0
40525,  -17551,         0,      2,      0
40530,  -17551,         0,      2,      0
40535,  -17551,         0,      2,      0
40540,  -17551,         0,      2,      0
40545,  -17551,         0,      2,      0
40550,  -17551,         0,      2,      0
40555,  -17551,         0,      2,      0
40560,  -17551,         0,      2,      0
40565,  -17551,         0,      2,      0
40570,  -17551,         0,      2,      0
40575,  -17551,         0,      2,      0
40580,  -17551,         0,      2,      0
40585,  -17551,         0,      2,      0
40590,  -17551,         0,      2,      0
40595,  -17551,         0,      2,      0
40600,  -17551,         0,      2,      0
40605,  -17551,         0,      2,      0
40610,  -17551,         0,      2,      0
40615,  -17551,         0,      2,      0
40620,  -17551,         0,      2,      0
40625,  -17551,         0,      2,      0
40630,  -17551,         0,      2,      0
40635,  -17551,         0,      2,      0
40640,  -17551,         0,      2,      0
40645,  -17551,         0,      2,      0
40650,  -17551,         0,      2,      0
40655,  -17551,         0,      2,      0
40660,  -17551,         0,      2,      0
40665,  -17551,         0,      2,      0
40670,  -17551,         0,      2,      0
40675,  -17551,         0,      2,      0
40680,  -17551,         0,      2,      0
40685,  -17551,         0,      2,      0
40690,  -17551,         0,      2,      0
40695,  -17551,         0,      2,      0
40700,  -17551,         0,      2,      0
40705,  -17551,         0,      2,      0
40710,  -17551,         0,      2,      0
40715,  -17551,         0,      2,      0
40720,  -17551,         0,      2,      0
40725,  -17551,         0,      2,      0
40730,  -17551,         0,      2,      0
40735,  -17551,         0,      2,      0
40740,  -17551,         0,      2,      0
40745,  -17551,         0,      2,      0
40750,  -17551,         0,      2,      0
40755,  -17551,         0,      2,      0
40760,  -17551,         0,      2,      0
40765,  -17551,         0,      2,      0
40770,  -17551,         0,      2,      0
40775,  -17551,         0,      2,      0
40780,  -17551,         0,      2,      0
40785,  -17551,         0,      2,      0
40790,  -17551,         0,      2,      0
40795,  -17551,         0,      2,      0
40800,  -17551,         0,      2,      0
40805,  -17551,         0,      2,      0
40810,  -17551,         0,      2,      0
40815,  -17551,         0,      2,      0
40820,  -17551,         0,      2,      0
40825,  -17551,         0,      2,      0
40830,  -17551,         0,      2,      0
40835,  -17551,         0,      2,      0
40840,  -17551,         0,      2,      0
40845,  -17551,         0,      2,      0
40850,  -17551,         0,      2,      0
40855,  -17551,         0,      2,      0
40860,  -17551,         0,      2,      0
40865,  -17551,         0,      2,      0
40870,  -17551,         0,      2,      0
40875,  -17551,         0,      2,      0
40880,  -17551,         0,      2,      0
40885,  -17551,         0,      2,      0
40890,  -17551,         0,      2,      0
40895,  -17551,         0,      2,      0
40900,  -17551,         0,      2,      0
40905,  -17551,         0,      2,      0
40910,  -17551,         0,      2,      0
40915,  -17551,         0,      2,      0
40920,  -17551,         0,      2,      0
40925,  -17551,         0,      2,      0
40930,  -17551,         0,      2,      0
40935,  -17551,         0,      2,      0
40940,  -17551,         0,      2,      0
40945,  -17551,         0,      2,      0
40950,  -17551,         0,      2,      0
40955,  -17551,         0,      2,      0
40960,  -17551,         0,      2,      0
40965,  -17551,         0,      2,      0
40970,  -17551,         0,      2,      0
40975,  -17551,         0,      2,      0
40980,  -17551,         0,      2,      0
40985,  -17551,         0,      2,      0
40990,  -17551,         0,      2,      0
40995,  -17551,         0,      2,      0
41000,  -17551,         0,      2,      0
41005,  -17551,         0,      2,      0
41010,  -17551,         0,      2,      0
41015,  -17551,         0,      2,      0
41020,  -17551,         0,      2,      0
41025,  -17551,         0,      2,      0
41030,  -17551,         0,      2,      0
41035,  -17551,         0,      2,      0
41040,  -17551,         0,      2,      0
41045,  -17551,         0,      2,      0
41050,  -17551,         0,      2,      0
41055,  -17551,         0,      2,      0
41060,  -17551,         0,      2,      0
41065,  -17551,         0,      2,      0
41070,  -17551,         0,      2,      0
41075,  -17551,         0,      2,      0
41080,  -17551,         0,      2,      0
41085,  -17551,         0,      2,      0
41090,  -17551,         0,      2,      0
41095,  -17551,         0,      2,      0
41100,  -17551,         0,      2,      0
41105,  -17551,         0,      2,      0
41110,  -17551,         0,      2,      0
41115,  -17551,         0,      2,      0
