time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
34745, 1200, 0.00, 36, 0.00, 36
34747, 1200, 0.00, 72, 0.00, 72
34749, 1200, 0.00, 108, 0.00, 108
34751, 1200, 0.00, 144, 0.00, 144
34753, 1200, 0.00, 180, 0.00, 180
34755, 1200, 0.00, 216, 0.00, 216
34757, 1200, 0.01, 252, 0.01, 252
34759, 1200, 0.01, 255, 249.88, 255
34772, 1200, 313.58, 255, 300.84, 255
34774, 1200, 337.04, 255, 333.67, 255
34776, 1200, 350.14, 255, 341.88, 255
34778, 1200, 378.79, 255, 365.90, 255
34780, 1200, 393.08, 255, 390.32, 255
34782, 1200, 416.15, 255, 420.34, 255
34784, 1200, 435.16, 255, 413.05, 255
34796, 1200, 501.25, 255, 483.09, 255
34798, 1200, 498.26, 255, 478.93, 255
34800, 1200, 505.82, 255, 498.26, 255
34802, 1200, 515.20, 255, 494.56, 255
34804, 1200, 517.60, 255, 510.46, 255
34806, 1200, 527.43, 255, 505.82, 255
34808, 1200, 527.43, 255, 521.65, 255
34820, 1200, 557.41, 255, 543.77, 255
34822, 1200, 555.56, 255, 577.70, 255
34824, 1200, 563.06, 255, 569.80, 255
34826, 1200, 560.22, 255, 580.72, 255
34828, 1200, 585.82, 255, 550.06, 255
34830, 1200, 587.89, 255, 571.76, 255
34832, 1200, 588.93, 255, 554.63, 255
34844, 1200, 589.97, 255, 579.71, 255
34846, 1200, 599.52, 255, 574.71, 255
34848, 1200, 589.97, 255, 579.71, 255
34850, 1200, 607.16, 255, 613.87, 255
34852, 1200, 600.60, 255, 597.37, 255
34854, 1200, 589.97, 255, 589.97, 255
34856, 1200, 608.27, 255, 577.70, 255
34868, 1200, 595.24, 255, 591.02, 255
34870, 1200, 613.87, 255, 584.80, 255
34872, 1200, 608.27, 255, 612.75, 255
34874, 1200, 596.30, 255, 596.30, 255
34876, 1200, 610.50, 255, 592.07, 255
34878, 1200, 600.60, 255, 597.37, 255
34880, 1200, 611.62, 255, 596.30, 255
34893, 1200, 598.44, 255, 593.12, 255
34895, 1200, 613.87, 255, 615.01, 255
34897, 1200, 603.86, 255, 630.12, 255
34899, 1200, 616.14, 255, 591.02, 255
34901, 1200, 602.77, 255, 603.86, 255
34903, 1200, 616.14, 255, 596.30, 255
34905, 1200, 613.87, 255, 617.28, 255
34917, 1200, 608.27, 255, 610.50, 255



Acceleration: 5.90
Acceleration: 8.40
Acceleration: 8.61
Acceleration: 8.01
Acceleration: 8.53
Acceleration: 7.89
Acceleration: 8.40
Acceleration: 7.89
Acceleration: 7.45
Acceleration: 8.90
Acceleration: 8.40
Acceleration: 9.46
Acceleration: 8.54
Acceleration: 7.15
Acceleration: 8.90
Acceleration: 7.50
Acceleration: 9.21
Acceleration: 9.37
Acceleration: 10.00
Acceleration: 9.46
Acceleration: 9.37
Acceleration: 8.98
Acceleration: 9.05
