x,y,theta,v,omega
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.08, 0.06, 0.35
0.01, 0.00, 0.22, 0.08, 0.50
0.02, 0.00, 0.40, 0.09, 0.57
0.03, 0.01, 0.58, 0.10, 0.59
0.04, 0.01, 0.78, 0.10, 0.61
0.04, 0.02, 0.98, 0.10, 0.64
0.05, 0.03, 1.18, 0.10, 0.62
0.05, 0.04, 1.38, 0.10, 0.61
0.05, 0.05, 1.58, 0.10, 0.62
0.05, 0.06, 1.79, 0.11, 0.67
0.05, 0.07, 2.00, 0.10, 0.64
0.04, 0.08, 2.21, 0.11, 0.65
0.03, 0.09, 2.42, 0.11, 0.65
0.02, 0.10, 2.64, 0.11, 0.68
0.01, 0.10, 2.85, 0.11, 0.68
0.00, 0.10, 3.06, 0.11, 0.68
-0.01, 0.10, -3.01, 0.11, 0.65
-0.02, 0.10, -2.79, 0.11, 0.68
-0.03, 0.09, -2.58, 0.11, 0.67
-0.04, 0.09, -2.36, 0.11, 0.70
-0.04, 0.08, -2.15, 0.11, 0.68
-0.05, 0.07, -1.93, 0.11, 0.67
-0.05, 0.06, -1.71, 0.11, 0.70
-0.05, 0.05, -1.49, 0.11, 0.68
-0.05, 0.04, -1.28, 0.11, 0.66
-0.04, 0.03, -1.06, 0.11, 0.69
-0.04, 0.02, -0.85, 0.11, 0.69
-0.03, 0.01, -0.63, 0.11, 0.66
-0.02, 0.00, -0.41, 0.11, 0.69
-0.01, 0.00, -0.19, 0.11, 0.69
0.00, 0.00, 0.03, 0.11, 0.68
0.01, 0.00, 0.25, 0.11, 0.66
0.02, 0.01, 0.46, 0.11, 0.66
0.03, 0.01, 0.68, 0.11, 0.70
0.04, 0.02, 0.90, 0.11, 0.68
0.05, 0.03, 1.12, 0.12, 0.71
0.05, 0.04, 1.34, 0.11, 0.67
0.05, 0.05, 1.56, 0.11, 0.70
0.05, 0.06, 1.79, 0.11, 0.71
0.05, 0.07, 2.01, 0.11, 0.69
0.04, 0.08, 2.23, 0.11, 0.71
0.03, 0.09, 2.45, 0.11, 0.68
0.02, 0.10, 2.67, 0.11, 0.69
0.01, 0.10, 2.89, 0.11, 0.67
0.00, 0.10, 3.11, 0.11, 0.70
-0.01, 0.10, -2.96, 0.11, 0.68
-0.02, 0.10, -2.74, 0.11, 0.70
-0.03, 0.09, -2.52, 0.11, 0.68
-0.04, 0.09, -2.29, 0.11, 0.67
-0.05, 0.08, -2.07, 0.11, 0.71
-0.05, 0.07, -1.85, 0.11, 0.68
-0.05, 0.05, -1.63, 0.11, 0.70
-0.05, 0.04, -1.41, 0.11, 0.68
-0.05, 0.03, -1.19, 0.11, 0.68
-0.04, 0.02, -0.97, 0.11, 0.70
-0.03, 0.01, -0.75, 0.11, 0.68
-0.03, 0.01, -0.52, 0.11, 0.70
-0.02, 0.00, -0.30, 0.11, 0.69
-0.00, 0.00, -0.08, 0.11, 0.67
0.01, 0.00, 0.14, 0.11, 0.71
0.02, 0.00, 0.36, 0.11, 0.68
0.03, 0.01, 0.58, 0.11, 0.70
0.04, 0.02, 0.80, 0.11, 0.69
0.04, 0.02, 1.02, 0.11, 0.67
0.05, 0.04, 1.25, 0.11, 0.71
0.05, 0.05, 1.47, 0.11, 0.67
0.05, 0.06, 1.69, 0.11, 0.66
0.05, 0.07, 1.90, 0.11, 0.68
0.04, 0.08, 2.10, 0.10, 0.65
0.04, 0.09, 2.32, 0.11, 0.65
0.03, 0.09, 2.53, 0.11, 0.69
0.02, 0.10, 2.75, 0.11, 0.66
0.01, 0.10, 2.96, 0.11, 0.68
-0.00, 0.10, -3.11, 0.11, 0.67
-0.01, 0.10, -2.89, 0.11, 0.70
-0.02, 0.10, -2.67, 0.11, 0.68
-0.03, 0.09, -2.45, 0.11, 0.68
-0.04, 0.08, -2.23, 0.11, 0.67
-0.05, 0.07, -2.02, 0.11, 0.67
-0.05, 0.06, -1.80, 0.11, 0.69
-0.05, 0.05, -1.58, 0.11, 0.68
-0.05, 0.04, -1.35, 0.11, 0.68
-0.05, 0.03, -1.13, 0.11, 0.71
-0.04, 0.02, -0.91, 0.11, 0.68
-0.03, 0.01, -0.69, 0.11, 0.70
-0.02, 0.01, -0.47, 0.11, 0.69
-0.01, 0.00, -0.25, 0.11, 0.67
-0.00, 0.00, -0.03, 0.10, 0.64
0.01, 0.00, 0.17, 0.10, 0.62
0.02, 0.00, 0.38, 0.11, 0.68
0.03, 0.01, 0.59, 0.11, 0.68
0.04, 0.02, 0.81, 0.11, 0.68
0.04, 0.02, 1.02, 0.11, 0.66
0.05, 0.03, 1.24, 0.11, 0.70
0.05, 0.05, 1.46, 0.11, 0.69
0.05, 0.06, 1.68, 0.11, 0.68
0.05, 0.07, 1.90, 0.11, 0.67
