time, targetSpeed, leftSpeed, leftCommand, rightSpeed, rightCommand
928459, 200, 0.00, 3, 0.00, 3
928462, 200, 0.00, 6, 0.00, 6
928465, 200, 0.00, 9, 0.00, 9
928467, 200, 0.00, 12, 0.00, 12
928469, 200, 0.00, 15, 0.00, 15
928471, 200, 0.00, 18, 0.00, 18
928473, 200, 0.00, 21, 0.00, 21
928485, 200, 0.00, 24, 0.00, 24
928487, 200, 0.00, 27, 0.00, 27
928489, 200, 0.00, 30, 0.00, 30
928491, 200, 0.00, 33, 0.00, 33
928493, 200, 0.00, 36, 0.00, 36
928495, 200, 0.00, 39, 0.00, 39
928497, 200, 0.00, 42, 0.00, 42
928499, 200, 0.00, 45, 0.00, 45
928501, 200, 0.00, 48, 0.00, 48
928503, 200, 0.00, 51, 0.00, 51
928505, 200, 0.00, 54, 0.00, 54
928517, 200, 0.00, 57, 0.00, 57
928519, 200, 0.00, 60, 0.00, 60
928521, 200, 0.00, 63, 0.00, 63
928523, 200, 0.00, 66, 0.00, 66
928525, 200, 0.00, 69, 0.00, 69
928527, 200, 0.00, 72, 0.00, 72
928529, 200, 0.00, 75, 0.00, 75
928531, 200, 0.00, 78, 0.00, 78
928533, 200, 0.00, 81, 0.00, 81
928535, 200, 0.00, 84, 49.65, 83
928537, 200, 0.00, 87, 49.65, 85
928549, 200, 58.24, 89, 89.20, 86
928551, 200, 58.24, 91, 103.14, 87
928553, 200, 58.24, 93, 103.14, 88
928555, 200, 70.32, 94, 111.22, 89
928557, 200, 70.32, 96, 117.04, 90
928559, 200, 88.89, 97, 117.04, 91
928561, 200, 104.10, 98, 131.49, 92
928563, 200, 104.10, 99, 133.23, 93
928565, 200, 117.37, 100, 143.43, 93
928577, 200, 160.33, 100, 177.59, 93
928579, 200, 165.59, 100, 186.43, 93
928581, 200, 178.16, 100, 187.90, 93
928583, 200, 179.21, 100, 188.01, 93
928585, 200, 182.45, 100, 192.79, 93
928587, 200, 192.46, 100, 200.08, 93
928589, 200, 195.96, 100, 212.45, 92
928591, 200, 196.08, 100, 226.76, 91
928603, 200, 224.92, 99, 239.29, 90
