time, motorCommand, leftSpeedRpm, rightSpeedRpm
42300, 0, 0.00, 0.00
43399, 10, 0.00, 0.00
44500, 20, 0.00, 0.00
45599, 30, 0.00, 0.00
46700, 40, 0.00, 29.70
47800, 50, 0.00, 117.85
48900, 60, 0.00, 207.92
49999, 70, 190.24, 274.41
51100, 80, 242.57, 331.68
52199, 90, 286.20, 388.89
53300, 100, 356.44, 417.49
54399, 110, 390.57, 462.96
55500, 120, 419.14, 491.75
56599, 130, 451.18, 520.20
57700, 140, 460.40, 534.65
58799, 150, 483.17, 547.14
59800, 160, 494.95, 560.61
60900, 170, 509.90, 562.71
61999, 180, 530.30, 589.23
63100, 190, 534.65, 595.71
64199, 200, 545.45, 609.43
65300, 210, 547.85, 612.21
66399, 220, 562.29, 621.21
67500, 230, 569.31, 620.46
68599, 240, 577.44, 626.26
69700, 250, 585.81, 635.31
