time, batteryVoltage, motorCommand, leftSpeedRpm, rightSpeedRpm
84184, 7403, -250, -586.67, -596.67
85184, 7403, -245, -576.67, -585.00
86184, 7381, -240, -575.00, -585.00
87184, 7359, -235, -578.33, -591.67
88184, 7381, -230, -578.33, -595.00
89184, 7403, -225, -580.00, -595.00
90184, 7359, -220, -576.67, -585.00
91184, 7348, -215, -570.00, -580.00
92184, 7337, -210, -570.00, -576.67
93184, 7337, -205, -568.33, -578.33
94184, 7381, -200, -558.33, -573.33
95184, 7359, -195, -555.00, -570.00
96184, 7359, -190, -553.33, -566.67
97184, 7359, -185, -551.67, -563.33
98184, 7359, -180, -548.33, -555.00
99184, 7381, -175, -541.67, -550.00
100184, 7403, -170, -538.33, -546.67
101184, 7381, -165, -523.33, -538.33
102184, 7381, -160, -520.00, -528.33
103184, 7359, -155, -511.67, -521.67
104184, 7403, -150, -503.33, -515.00
105184, 7403, -145, -500.00, -505.00
106184, 7359, -140, -493.33, -500.00
107184, 7381, -135, -486.67, -486.67
108184, 7359, -130, -476.67, -473.33
109184, 7337, -125, -461.67, -465.00
110184, 7337, -120, -451.67, -451.67
111184, 7403, -115, -445.00, -440.00
112184, 7403, -110, -431.67, -421.67
113184, 7381, -105, -416.67, -408.33
114184, 7359, -100, -395.00, -383.33
115184, 7403, -95, -376.67, -360.00
116184, 7381, -90, -360.00, -340.00
117184, 7403, -85, -341.67, -313.33
118184, 7381, -80, -313.33, -285.00
119184, 7337, -75, -291.67, -255.00
120184, 7381, -70, -265.00, -218.33
121184, 7337, -65, -230.00, -183.33
122184, 7403, -60, -193.33, -140.00
123184, 7337, -55, -150.00, -95.00
124184, 7337, -50, -100.00, -43.33
125184, 7359, -45, -43.33, 0.00
126184, 7403, -40, 0.00, 0.00
127184, 7381, -35, 0.00, 0.00
128184, 7403, -30, 0.00, 0.00
129184, 7381, -25, 0.00, 0.00
130184, 7337, -20, 0.00, 0.00
131184, 7403, -15, 0.00, 0.00
132184, 7403, -10, 0.00, 0.00
133184, 7403, -5, 0.00, 0.00
134184, 7403, 0, 0.00, 0.00
135184, 7381, 5, 0.00, 0.00
136184, 7403, 10, 0.00, 0.00
137184, 7337, 15, 0.00, 0.00
138184, 7403, 20, 0.00, 0.00
139184, 7359, 25, 0.00, 0.00
140184, 7381, 30, 0.00, 0.00
141184, 7403, 35, 0.00, 0.00
142184, 7359, 40, 0.00, 0.00
143184, 7381, 45, 0.00, 0.00
144184, 7403, 50, 0.00, 48.33
145184, 7403, 55, 0.00, 90.00
146184, 7381, 60, 0.00, 138.33
147184, 7403, 65, 0.00, 180.00
148184, 7403, 70, 0.00, 213.33
149184, 7403, 75, 210.00, 253.33
150184, 7337, 80, 255.00, 288.33
151184, 7403, 85, 286.67, 315.00
152184, 7337, 90, 311.67, 333.33
153184, 7359, 95, 333.33, 365.00
154184, 7359, 100, 358.33, 386.67
155184, 7381, 105, 378.33, 408.33
156184, 7381, 110, 391.67, 425.00
157184, 7403, 115, 408.33, 441.67
158184, 7359, 120, 423.33, 455.00
159184, 7403, 125, 441.67, 470.00
160184, 7403, 130, 455.00, 481.67
161184, 7337, 135, 468.33, 493.33
162184, 7381, 140, 481.67, 503.33
163184, 7403, 145, 491.67, 513.33
164184, 7381, 150, 500.00, 520.00
165184, 7403, 155, 510.00, 528.33
166184, 7337, 160, 511.67, 538.33
167184, 7381, 165, 521.67, 546.67
168184, 7337, 170, 528.33, 553.33
169184, 7359, 175, 536.67, 560.00
170184, 7337, 180, 541.67, 561.67
171184, 7337, 185, 546.67, 571.67
172184, 7337, 190, 551.67, 578.33
173184, 7337, 195, 556.67, 585.00
174184, 7403, 200, 561.67, 588.33
175184, 7337, 205, 566.67, 595.00
176184, 7337, 210, 570.00, 596.67
177184, 7337, 215, 571.67, 598.33
178184, 7337, 220, 576.67, 605.00
179184, 7403, 225, 581.67, 611.67
180184, 7403, 230, 586.67, 616.67
181184, 7337, 235, 586.67, 613.33
182184, 7381, 240, 583.33, 611.67
183184, 7337, 245, 590.00, 616.67
184184, 7381, 250, 603.33, 630.00
185184, 7381, 255, 615.00, 641.67
